epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5028,0.70971,2.5145,1.18616,0.00333,1,0.515,0.42749,0.80067,2.81481,1.14025,0,0,0
2,1.75865,0.55282,2.48203,1.16157,0.00333,1,0.51872,0.42862,0.81499,2.81594,1.15296,1.9604e-05,1.9604e-05,1.9604e-05
3,2.0116,0.63226,2.46667,1.14903,0.00333,1,0.5056,0.42615,0.83625,2.82949,1.16835,3.8416e-05,3.8416e-05,3.8416e-05
4,2.25168,0.63204,2.51387,1.09067,0.00333,1,0.4282,0.35959,0.86187,2.83629,1.19023,5.6436e-05,5.6436e-05,5.6436e-05
5,2.5137,0.54493,2.44622,1.14661,0.00333,1,0.56148,0.49358,0.59741,2.72604,1.02517,7.3664e-05,7.3664e-05,7.3664e-05
6,2.82219,0.35151,2.42657,1.06481,0.00333,1,0.69305,0.57701,0.34716,2.69499,0.83761,9.01e-05,9.01e-05,9.01e-05
7,3.12479,0.36242,2.43453,1.03233,0.00333,1,0.7825,0.69043,0.25157,2.685,0.75328,0.000105744,0.000105744,0.000105744
8,3.42851,0.36196,2.18249,1.03611,0.00333,1,0.845,0.68551,0.23903,2.67256,0.70716,0.000120596,0.000120596,0.000120596
9,3.70732,0.22031,2.04793,1.01793,0.00333,1,0.845,0.68551,0.23903,2.67256,0.70716,0.000134656,0.000134656,0.000134656
10,4.00917,0.2304,2.07792,1.02014,0.00333,1,0.91167,0.82461,0.23955,2.65531,0.66565,0.000147924,0.000147924,0.000147924
11,4.30597,0.23592,1.85351,1.04665,0.00333,1,0.91167,0.82461,0.23955,2.65531,0.66565,0.0001604,0.0001604,0.0001604
12,4.60466,0.2625,1.88621,1.04152,0.00333,1,0.995,0.90166,0.24633,2.61699,0.6449,0.000172084,0.000172084,0.000172084
