epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.95537,0.56967,2.82588,0.90907,0.00333,1,0.82683,0.80085,0.40148,2.72094,1.00267,0.00012,0.00012,0.00012
2,2.9664,0.31688,1.99979,0.86188,0.00333,1,0.97141,0.9488,0.24732,2.55052,0.87997,0.000254852,0.000254852,0.000254852
3,3.94287,0.35275,1.07822,0.83836,0.93252,0.86438,0.94211,0.84787,0.40983,2.10566,0.91788,0.00038416,0.00038416,0.00038416
4,4.91212,0.37178,0.95902,0.82561,0.98311,0.875,0.97925,0.8625,0.55236,1.51765,0.91758,0.000507924,0.000507924,0.000507924
5,5.88228,0.39982,0.9721,0.8581,0.99751,1,0.995,0.90872,0.48635,1.44342,1.14351,0.000626144,0.000626144,0.000626144
6,6.84674,0.37721,0.90493,0.84673,0.97335,1,0.995,0.8762,0.47117,1.70011,0.96774,0.00073882,0.00073882,0.00073882
7,7.84891,0.34993,0.9294,0.84235,1,0.93017,0.995,0.87298,0.50515,1.43849,0.96229,0.000845952,0.000845952,0.000845952
8,8.83099,0.33108,0.89313,0.85014,0.99511,1,0.995,0.89202,0.35597,1.35361,0.96311,0.00094754,0.00094754,0.00094754
9,9.79145,0.34348,0.92529,0.86673,0.99904,1,0.995,0.9346,0.31089,1.21478,0.88672,0.00104358,0.00104358,0.00104358
10,10.7258,0.35001,0.85061,0.86172,1,0.99849,0.995,0.95781,0.33012,1.17471,0.89314,0.00113408,0.00113408,0.00113408
11,11.6536,0.33597,0.80051,0.85817,0.93304,1,0.97324,0.79322,0.41735,1.37959,0.97731,0.00121904,0.00121904,0.00121904
12,12.5666,0.31514,0.81263,0.84644,0.88659,1,0.98167,0.81818,0.51831,1.28142,1.01335,0.00129845,0.00129845,0.00129845
13,13.5049,0.34197,0.81415,0.86141,0.9961,0.9375,0.98833,0.83071,0.45141,1.20643,1.01031,0.00137232,0.00137232,0.00137232
14,14.4384,0.35183,0.77491,0.86854,0.9961,0.9375,0.98833,0.83071,0.45141,1.20643,1.01031,0.00144064,0.00144064,0.00144064
15,15.3719,0.31268,0.85456,0.84161,0.88467,1,0.96896,0.85182,0.33526,1.26454,0.98638,0.0014456,0.0014456,0.0014456
16,16.3229,0.33339,0.75697,0.81128,0.99039,1,0.995,0.90526,0.37931,1.17427,0.98436,0.001406,0.001406,0.001406
17,17.2797,0.34991,0.7692,0.86412,0.9878,1,0.995,0.89667,0.45139,1.00177,0.94644,0.0013664,0.0013664,0.0013664
18,18.2089,0.31561,0.70747,0.84693,0.99554,1,0.995,0.90503,0.3792,0.93252,0.92305,0.0013268,0.0013268,0.0013268
19,19.2012,0.29245,0.67937,0.82967,0.99592,1,0.995,0.93212,0.36435,0.88109,0.93871,0.0012872,0.0012872,0.0012872
20,20.1416,0.284,0.67408,0.82112,0.99025,1,0.995,0.87614,0.47211,0.86851,0.9907,0.0012476,0.0012476,0.0012476
21,21.1273,0.30217,0.72226,0.84867,0.91212,1,0.95088,0.87653,0.33491,1.19242,0.94258,0.001208,0.001208,0.001208
22,22.0875,0.25537,0.71047,0.83708,0.91212,1,0.95088,0.87653,0.33491,1.19242,0.94258,0.0011684,0.0011684,0.0011684
